"","SAM000203_tp1","SAM000269_tp1","SAM000268_tp1","SAM000266_tp1","SAM000257_tp1","SAM000260_tp1","SAM000259_tp1","SAM000253_tp1","SAM000254_tp1","SAM000258_tp1","SAM000247_tp1","SAM000256_tp1","SAM000249_tp1","SAM000248_tp1","SAM000246_tp1","SAM000237_tp1","SAM000241_tp1","SAM000234_tp1","SAM000250_tp1","SAM000236_tp1","SAM000213_tp1","SAM000245_tp1","SAM000201_tp1","SAM000204_tp1","SAM000208_tp1","SAM000261_tp1","SAM000255_tp1","SAM000251_tp1","SAM000290_tp1","SAM000291_tp1","SAM000272_tp1","SAM000288_tp1","SAM000265_tp1","SAM000284_tp1","SAM000263_tp1","SAM000286_tp1","SAM000281_tp1","SAM000273_tp1","SAM000287_tp1","SAM000280_tp1","SAM000270_tp1","SAM000275_tp1","SAM000279_tp1","SAM000380_tp1","SAM000395_tp1","SAM000370_tp1","SAM000387_tp1","SAM000367_tp1","SAM000388_tp1","SAM000366_tp1","SAM000384_tp1","SAM000371_tp1","SAM000393_tp1","SAM000372_tp1","SAM000216_tp2","SAM000373_tp1","SAM000378_tp1","SAM000368_tp1","SAM000382_tp1","SAM000364_tp1","SAM000379_tp1","SAM000362_tp1","SAM000383_tp1","SAM000343_tp1","SAM000348_tp1","SAM000302_tp1","SAM000311_tp1","SAM000342_tp1","SAM000347_tp1","SAM000341_tp1","SAM000277_tp1","SAM000349_tp1","SAM000357_tp1","SAM000350_tp1","SAM000356_tp1","SAM000326_tp1","SAM000358_tp1","SAM000351_tp1","SAM000360_tp1","SAM000208_tp2","SAM000361_tp1","SAM000331_tp1","SAM000363_tp1","SAM000201_tp2","SAM000314_tp1","SAM000315_tp1","SAM000301_tp1","SAM000295_tp1","SAM000327_tp1","SAM000325_tp1","SAM000296_tp1","SAM000333_tp1","SAM000217_tp2","SAM000337_tp1","SAM000329_tp1","SAM000335_tp1","SAM000332_tp1","SAM000340_tp1","SAM000336_tp1","SAM000316_tp1","SAM000330_tp1","SAM000345_tp1","SAM000346_tp1","SAM000312_tp1","SAM000293_tp1","SAM000323_tp1","SAM000320_tp1","SAM000318_tp1","SAM000317_tp1","SAM000309_tp1","SAM000321_tp1","SAM000307_tp1","SAM000308_tp1","SAM000282_tp1","SAM000283_tp1","SAM000305_tp1","SAM000303_tp1","SAM000306_tp1","SAM000299_tp1","SAM000304_tp1","SAM000276_tp1","SAM000271_tp1","SAM000213_tp2","SAM000210_tp2","SAM000285_tp1","SAM000415_tp1","SAM000240_tp2","SAM000433_tp1","SAM000439_tp1","SAM000319_tp1","SAM000246_tp2","SAM000431_tp1","SAM000440_tp1","SAM000428_tp1","SAM000422_tp1","SAM000429_tp1","SAM000376_tp1","SAM000430_tp1","SAM000436_tp1","SAM000421_tp1","SAM000427_tp1","SAM000227_tp2","SAM000404_tp1","SAM000410_tp1","SAM000223_tp2","SAM000313_tp1","SAM000211_tp2","SAM000412_tp1","SAM000425_tp1","SAM000352_tp1","SAM000426_tp1","SAM000420_tp1","SAM000417_tp1","SAM000411_tp1","SAM000419_tp1","SAM000205_tp2","SAM000424_tp1","SAM000353_tp1","SAM000202_tp2","SAM000401_tp1","SAM000416_tp1","SAM000394_tp1","SAM000418_tp1","SAM000396_tp1","SAM000407_tp1","SAM000220_tp2","SAM000359_tp1","SAM000390_tp1","SAM000354_tp1","SAM000400_tp1","SAM000399_tp1","SAM000405_tp1","SAM000398_tp1","SAM000406_tp1","SAM000212_tp2","SAM000397_tp1","SAM000375_tp1","SAM000203_tp2","SAM000250_tp2","SAM000470_tp1","SAM000467_tp1","SAM000466_tp1","SAM000236_tp2","SAM000256_tp2","SAM000462_tp1","SAM000463_tp1","SAM000464_tp1","SAM000226_tp2","SAM000260_tp2","SAM000243_tp2","SAM000253_tp2","SAM000238_tp2","SAM000235_tp2","SAM000386_tp1","SAM000434_tp1","SAM000448_tp1","SAM000447_tp1","SAM000446_tp1","SAM000452_tp1","SAM000214_tp2","SAM000403_tp1","SAM000450_tp1","SAM000451_tp1","SAM000445_tp1","SAM000385_tp1","SAM000444_tp1","SAM000225_tp2","SAM000209_tp1","SAM000471_tp1","SAM000248_tp2","SAM000245_tp2","SAM000481_tp1","SAM000233_tp2","SAM000408_tp1","SAM000477_tp1","SAM000222_tp2","SAM000490_tp1","SAM000491_tp1","SAM000495_tp1","SAM000241_tp2","SAM000475_tp1","SAM000497_tp1","SAM000487_tp1","SAM000496_tp1","SAM000476_tp1","SAM000498_tp1","SAM000273_tp2","SAM000484_tp1","SAM000458_tp1","SAM000270_tp2","SAM000500_tp1","SAM000501_tp1","SAM000502_tp1","SAM000499_tp1","SAM000258_tp2","SAM000266_tp2","SAM000485_tp1","SAM000251_tp2","SAM000284_tp2","SAM000291_tp2","SAM000287_tp2","SAM000247_tp2","SAM000283_tp2","SAM000261_tp2","SAM000299_tp2","SAM000309_tp2","SAM000265_tp2","SAM000275_tp2","SAM000242_tp2","SAM000307_tp2","SAM000288_tp2","SAM000255_tp2","SAM000518_tp1","SAM000523_tp1","SAM000286_tp2","SAM000526_tp1","SAM000320_tp2","SAM000529_tp1","SAM000515_tp1","SAM000524_tp1","SAM000201_tp3","SAM000306_tp2","SAM000304_tp2","SAM000530_tp1","SAM000314_tp2","SAM000537_tp1","SAM000276_tp2","SAM000527_tp1","SAM000535_tp1","SAM000332_tp2","SAM000329_tp2","SAM000539_tp1","SAM000536_tp1","SAM000317_tp2","SAM000312_tp2","SAM000293_tp2","SAM000337_tp2","SAM000316_tp2","SAM000553_tp1","SAM000308_tp2","SAM000538_tp1","SAM000263_tp2","SAM000290_tp2","SAM000349_tp2","SAM000202_tp3","SAM000356_tp2","SAM000363_tp2","SAM000336_tp2","SAM000209_tp3","SAM000217_tp3","SAM000212_tp3","SAM000407_tp2","SAM000395_tp2","SAM000210_tp3","SAM000271_tp2","SAM000340_tp2","SAM000305_tp2","SAM000361_tp2","SAM000348_tp2","SAM000311_tp2","SAM000321_tp2","SAM000364_tp2","SAM000350_tp2","SAM000333_tp2","SAM000301_tp2","SAM000433_tp2","SAM000327_tp2","SAM000396_tp2","SAM000220_tp3","SAM000426_tp2","SAM000313_tp2","SAM000351_tp2","SAM000398_tp2","SAM000326_tp2","SAM000410_tp2","SAM000302_tp2","SAM000378_tp2","SAM000240_tp3","SAM000216_tp3","SAM000452_tp2","SAM000385_tp2","SAM000422_tp2","SAM000379_tp2","SAM000266_tp3","SAM000490_tp2","SAM000436_tp2","SAM000315_tp2","SAM000228_tp2","SAM000393_tp2","SAM000368_tp2","SAM000491_tp2","SAM000496_tp2","SAM000397_tp2","SAM000415_tp2","SAM000476_tp2","SAM000499_tp2","SAM000445_tp2","SAM000400_tp2","SAM000429_tp2","SAM000352_tp2","SAM000375_tp2","SAM000248_tp3","SAM000245_tp3","SAM000247_tp3","SAM000384_tp2","SAM000444_tp2","SAM000261_tp3","SAM000434_tp2","SAM000330_tp2","SAM000353_tp2","SAM000447_tp2","SAM000260_tp3","SAM000319_tp2","SAM000466_tp2","SAM000329_tp3","SAM000386_tp2","SAM000253_tp3","SAM000354_tp2","SAM000411_tp2","SAM000370_tp2","SAM000485_tp2","SAM000214_tp3","SAM000440_tp2","SAM000405_tp2","SAM000462_tp2","SAM000417_tp2","SAM000332_tp3","SAM000270_tp3","SAM000425_tp2","SAM000394_tp2","SAM000495_tp2","SAM000501_tp2","SAM000526_tp2","SAM000498_tp2","SAM000223_tp3","SAM000408_tp2","SAM000464_tp2","SAM000416_tp2","SAM000497_tp2","SAM000515_tp2","SAM000523_tp2","SAM000276_tp3","SAM000418_tp2","SAM000427_tp2","SAM000273_tp3","SAM000299_tp3","SAM000484_tp2","SAM000293_tp3","SAM000481_tp2","SAM000288_tp3","SAM000448_tp2","SAM000530_tp2","SAM000251_tp3","SAM000337_tp3","SAM000320_tp3","SAM000286_tp3","SAM000201_tp4","SAM000524_tp2","SAM000538_tp2","SAM000308_tp3","SAM000312_tp3","SAM000475_tp2","SAM000225_tp3","SAM000537_tp2","SAM000536_tp2","SAM000529_tp2","SAM000283_tp3","SAM000500_tp2","SAM000250_tp3","SAM000306_tp3","SAM000309_tp3","SAM000470_tp2","SAM000458_tp2","SAM000304_tp3"
"cholate",0.43169428,0.341328,0.83051284,1.13004385,0.36282551,0.37877641,0.14034023,1.45792126,2.07563370833333,0.44865231,0.21493454,0.15195639,2.27514768,0.70810734,0.32768465,0.45061585,0.30588832,0.21104711,0.21104158,0.16623888,0.15716453,0.1441465,1.2111043,0.20464001,0.26017809,0.63383767,0.48193016,0.10335204,0.18204959,0.40424066,0.16033626,8.02615228,0.29237779,0.28970501,0.39643353,0.79673788,0.16540514,0.15168248,0.50521505,0.27878886,1.43166292,0.22689011,0.10004381,0.46423799,0.43408761,4.42743979,0.31671778,0.27654217,0.87408429,0.20498863,11.51932138,0.57360332,0.06681208,0.17654356,0.77462336,0.19290487,3.58284276,0.51416674,0.35871028,0.50805108,0.3573619,0.09260098,1.24866707,0.59976943,0.4960245,0.970925,0.15729457,0.2823129,3.00537691,0.15700221,1.14543124,0.30485721,0.67044864,2.02286249,0.09541302,0.09890848,0.23207611,0.46318013,0.29301508,0.1542621,0.24990385,0.39544392,0.44609574,0.12968324,0.39720087,0.24947591,0.14409393,0.1621919,0.23139546,0.61811734,0.17598926,0.2904954,0.24545937,1.63437536,6.64067456,0.20194325,3.89398625,0.40380903,0.35031381,1.37537041,0.1348757,0.21472242,0.59886651,0.50313161,0.38255039,0.41895016,0.82439902,0.12121575,0.14653244,2.7304515,0.10657173,0.29571092,0.20374078,0.39948075,0.36168095,2.35178854,0.52825001,0.13914126,0.24781396,0.21668872,0.30263266,0.08699165,0.0986982,0.14981024,0.60673175,0.36723402,0.21525088,0.22890806,0.73120501,1.10406497,1.4843161,0.42382167,15.22793142,0.33247573,0.10623237,0.22066753,0.25779809,4.24756143,2.04865094,0.09631665,0.16132829,0.18028278,0.12015145,0.31223751,0.2212811,0.22527471,2.65077485,0.46845332,0.14761308,0.23862801,3.43342248,0.14076621,0.23348139,0.17602092,0.193918,0.24168125,0.59906188,0.20876378,1.03155034,0.22326035,0.22429728,0.33085839,0.24071163,0.21195262,0.28720384,9.46623752,0.21402258,0.18411933,0.85250934,0.28235864,0.21797716,0.19575287,0.36863471,0.2839516,0.1946418,0.26677735,0.14829006,0.88358121,0.21285201,2.73120975,1.0078043,3.84691352,0.16654806,0.21609157,0.4689352,0.38958698,0.48389805,2.30577692,0.27060025,2.41289405,6.22007444,0.28597864,0.60040121,0.33560018,0.32236003,0.22903615,0.20995972,0.29387122,0.36288037,0.41562441,0.28356824,0.39315527,0.20341329,0.24025901,0.37272878,0.20179888,1.03547468,0.80410325,0.13371156,0.65439874,0.23034426,0.42799346,0.08798022,0.2619185,0.24794382,0.16721352,0.10123684,0.0900985,0.22879111,0.10872432,0.12408389,0.10835984,0.151810075,0.60211517,0.25525924,0.35184817,0.07326527,0.60321911,0.08557939,3.52005173,0.43491479,0.11486429,0.07775109,0.05607895,0.09281366,0.75318235,0.27941085,0.05325516,0.30351603,0.12238155,0.31604305,0.11964713,0.69921665,0.84903971,0.05784787,6.04550309,0.42857155,0.48824004,0.20352593,0.32712776,0.20538424,0.48912929,0.55183617,0.15613881,0.12024228,7.33135147,0.24454013,0.11657204,0.16431968,34.67393119,0.09073743,0.18805228,0.14875966,0.1280544,2.35569831,0.09270962,6.05025638,0.1388041,0.505888555,0.23459078,6.32505682,0.07620977,0.09295753,0.13191454,0.21910396,0.04780357,0.11058227,0.12342983,0.55499817,0.19304215,0.24049355,0.10407942,0.71737674,0.27347115,0.14220433,0.06518179,1.06199252,0.26244869,2.8877221,1.08843895,0.11858291,0.28439347,0.63122037,0.10259544,0.06528952,0.37327886,0.15672715,0.30555104,0.23834526,0.04246912,0.09483719,0.11021352,0.96285739,0.12342776,0.12568239,0.26252741,0.61229672,0.53054464,0.20288516,4.27476937,0.32528816,0.30193466,0.13649285,0.05001538,0.11240669,2.95899863,1.0349094,0.44233322,0.75762852,0.37815686,0.02637255,0.19195247,0.15043837,1.7341276,0.0834225,0.99048327,0.63147173,0.29408456,1.92338971,0.05820523,1.01153726,0.72150066,0.11349222,0.05835646,0.18056748,0.02975069,0.08925276,0.188796,4.80917346,0.07457387,0.11277613,0.19718679,0.08962565,0.24589705,0.35849018,0.23733845,3.96174803,0.09482199,0.32527849,0.09689293,0.17330503,2.31494657,0.07408911,0.32704559,1.17187595,0.38446291,0.63420421,0.1879853,0.51880609,0.16441843,0.13082417,0.36366926,0.0711398,0.0696061,1.70233083,0.397885,1.33556448,10.2290174,0.15974138,0.19817842,0.10405594,0.13996145,1.91526616,1.04061536,0.31859195,0.48032555,0.23814363,0.15646337,0.05654033,0.17110427,0.16863696,0.11485604,0.25891794,0.10329496,0.13659021,0.09300292,0.34535587,0.06621881,11.46664529,0.43519137,0.04493417,0.23386461,0.16185998,1.11202769,3.69549303,0.20067082,0.290758306666667,0.58176404,0.1375362,3.4269395,0.08797308,0.19554171,0.54453461,0.11129807,0.1516071,0.22477087,7.87953947,2.22614917,0.13726436,0.16946775,0.96607048,0.18711765,0.26236453,0.18592414
"linoleate (18:2n6)",0.44019814,0.91870879,0.68585111,1.29394605,0.46314866,1.21085744,1.16079037,1.17620391,1.58771945,0.63894861,1.15099006,1.34862693,1.33780325,1.17742247,0.64651538,0.33509215,1.26244824,1.1734149,0.21866947,1.08224547,0.27412444,0.6406584,0.93482805,1.18161437,1.00014279,0.52249599,0.84935115,0.865122,0.93656677,1.4102137,0.61031043,0.67277221,1.08535426,1.28194154,1.26240013,0.55397365,1.37802089,1.081259,0.77019695,1.35774796,1.06650081,0.74893311,0.91502455,1.54058554,0.3094596,0.52168121,0.75608444,0.9369773,0.79646001,1.60830032,0.81655109,1.46841751,0.70115459,0.20441178,0.46869657,0.41820665,0.85401312,0.53393145,1.45078471,0.81896342,0.65337465,0.84862164,0.43699578,0.73597077,1.17854685,1.24578288,0.67549623,0.59079928,0.96881987,0.80210301,0.54078948,0.74503961,1.80508137,0.84517411,1.40879041,0.84049454,0.34934727,1.51256311,0.98289072,0.60819288,0.76300945,0.81927273,0.32412418,1.33828578,1.1391099,1.05461605,0.86893692,0.97785641,0.77656584,0.16302366,0.86217143,1.2215885,0.59601935,1.53842083,1.36350614,0.27209214,0.94337245,0.62082176,1.29469747,1.03986625,1.15424005,1.19738613,1.11421928,0.26951802,0.8425159,0.15183972,0.17311178,0.48789738,0.68266872,0.67127752,1.61731869,0.82683597,0.74012121,0.75880998,0.38523307,0.66323742,0.54023754,0.56989454,0.91869059,1.82018354,0.54249419,1.32738272,0.23959715,1.61576917,0.73916981,0.56201442,1.28875722,1.07139536,0.83759772,1.28298062,1.04314948,0.60334949,0.25090302,0.74482765,0.94656472,0.28327626,0.30207512,0.63869904,1.12691689,0.59634395,0.74241679,0.68389738,0.76496132,0.77290616,0.32059239,0.62336431,1.00091477,0.90693759,1.41025856,0.79551095,1.01207149,0.42812008,1.02980232,1.20178806,1.65363131,1.03983755,0.37499121,0.56514408,0.51744915,0.59980981,0.342319,0.37195426,1.23473407,0.82879833,0.88638065,0.76739511,0.08985362,0.98760975,0.56502462,0.61616699,0.35370412,1.11619905,1.39043085,0.55631015,0.64990499,1.03601583,0.52424406,0.66970038,0.9546241,1.41294549,0.92185978,0.72045646,0.53887349,0.49965951,0.74795134,1.11025283,1.05910847,0.76791883,0.91694338,1.09352921,0.88079942,0.98784131,0.30223872,0.66552545,1.21582618,0.75598048,0.92023357,1.16507447,1.22778783,1.73513693,0.76306929,0.56420452,1.03448923,1.42028345,1.5334626,1.13765242,0.29549049,0.76418361,0.29315598,0.83526753,0.8183103,1.01992447,1.03151889,1.01111499,1.04067311,1.24552,1.9876649,1.6510558,0.8558161,0.6624556,0.5621226,0.7114874,1.4992451,2.8688519,1.813314,1.8756091,1.2126664,1.6217766,1.0894224,0.4314484,0.8019506,0.4718217,1.4743613,1.8798946,0.970827,1.249255,0.883614,0.8158762,0.5992528,0.6145159,1.2600382,0.8781658,0.3130989,0.4838902,0.4853737,0.9874235,1.7886596,0.8820871,0.837537,1.2052286,1.376152,1.3539602,0.4210661,1.5048215,1.0989525,1.2979784,0.7027195,0.8977473,1.0205113,1.1742936,1.1899044,1.6757035,1.4411244,1.225058,0.6073591,0.7265272,0.4928926,0.7078503,2.2202141,1.1104058,0.6487073,0.9458501,0.478034,0.6610659,0.3681363,1.5749242,2.4595058,0.9567866,0.8576398,1.0885235,0.3822551,1.4141978,1.3540614,1.4006974,1.1117843,1.861652,0.4113527,1.4732272,0.7732045,0.8236516,0.6651169,0.8102992,0.7009506,1.2687252,1.1240272,0.9299107,1.2614302,0.5109017,1.5132848,0.825814,0.673649,1.1918011,0.5528768,0.5484104,0.6792485,0.3967393,0.3766217,0.463481,1.1744792,0.9633069,1.2691749,1.45722,0.706248,1.1557112,0.8441055,1.0086286,0.7060969,0.6507311,1.3175514,0.9956321,1.4192499,2.6362107,0.2659837,1.4786539,0.9792752,1.3033152,1.2740715,0.4397042,0.4757649,1.0116268,0.4009366,0.5875174,0.6471081,0.6448114,1.5364555,1.4402531,0.614259,0.3045833,0.8718881,0.2928615,0.6703787,0.8538095,1.0116018,2.3408831,0.6004972,0.998683,0.5541641,1.7533636,1.104243,0.8671991,0.8169249,1.2881534,1.1998489,1.4149921,0.6733382,0.8570045,0.4806586,0.7428968,1.0241512,0.2377011,0.7414403,0.6629054,1.3877833,1.9324832,0.5806454,0.4172831,0.5277827,1.1711577,0.3164075,0.8111669,0.9014183,0.3691953,1.1313462,0.6391202,1.063932,1.0020344,1.6374635,0.3394332,1.2399119,1.1965209,1.1258259,0.9924238,0.6527684,0.624488,0.6000241,1.2223857,0.5542154,1.3769995,0.6025838,0.9182592,1.2525565,1.2605837,0.2351975,0.9755759,0.7569653,0.7729782,0.9090614,1.7733857,0.2562398,0.1947735,1.6551828,0.6388068,0.880495,0.4510141,0.311125,1.1831808,0.3206312,0.5005651,0.1312259,0.7132347,1.8005763,0.301638,1.7017953,1.9072249
"quinolinate",0.8018565,0.6192627,0.8462813,1.4098366,0.4773517,0.8573435,0.6600017,0.3739014,1.2551961,1.0223485,0.7939588,0.6509185,0.9040088,1.3607485,0.7726553,2.8613349,0.7483651,0.7320531,1.4307282,0.8366008,0.6512438,1.6187816,1.0138262,0.429475,0.2820573,0.9120675,2.3986856,1.0236161,0.9844274,1.0285134,1.0448208,1.4468685,0.3666984,0.4936227,0.7510235,1.419736,0.6455531,0.990112,0.4696608,0.8008731,0.533585,1.3564456,2.3280553,1.1724884,0.9193724,0.6271664,0.5164963,0.7558463,1.2200581,1.7022326,1.703906,0.977761,1.5811539,0.9172323,0.8393458,1.2047948,1.1588591,1.0778431,0.7798325,0.5266693,1.8648497,2.2244439,1.4064912,0.751218,1.2597316,0.8885586,2.0168379,0.6830106,1.1087831,1.0876802,1.1798602,0.8660421,0.9113942,1.5269436,1.9183076,0.7703024,0.8476463,0.6768518,0.622643,1.2433026,0.6965503,0.7516284,1.6503326,0.898198,1.8216438,1.4852364,1.1701462,0.873923,0.6764323,0.6163292,1.0061535,0.5663641,0.7818631,1.6841696,1.6415306,1.2339777,1.1683679,0.8299055,1.7396338,1.2503809,1.1817966,1.6089795,0.4808293,0.6217812,0.8225262,1.0061292,1.0265861,0.5673688,1.4039727,2.3136144,0.7601614,1.0039055,0.715434,5.3122304,0.7987923,1.6911491,1.0899981,0.6843026,0.9230825,0.7747498,0.8568693,2.6431805,0.5702886,0.5806607,0.9964639,1.3818955,0.3587734,0.6813645,0.5100077,1.1091995,0.3986886,0.3890476,0.410481,0.8133611,3.7104733,0.3874142,0.5827434,0.560334833333333,0.5752672,1.1029566,0.4214393,0.4960751,0.4062489,0.7911512,0.8720377,0.6184048,1.6373076,2.0831044,0.6430807,0.7840644,0.3545967,0.9738964,0.920225,1.0939817,0.6921443,1.0598605,0.669563633333333,1.2442916,0.7117834,0.7460093,0.7396647,1.0950157,0.760748,0.8104641,0.9181541,1.1527831,0.9916052,1.3335298,1.4015714,1.386804,0.9957513,0.9571915,0.7322931,0.8317597,1.1199483,0.8428112,1.3665467,1.5655472,1.1633097,0.5812303,0.7619656,0.5197543,0.8790593,0.6550716,0.696352,0.6282689,0.9639291,1.0699641,1.0312837,0.6638012,0.684045183333333,1.2305123,0.5234271,0.9051578,0.9622067,0.7729268,0.6179158,0.782142833333333,0.7163067,0.3986292,0.5347956,0.5454642,0.8672247,0.9808563,0.452632,0.4633938,0.8950242,1.2287971,0.891674,0.6980458,1.1764694,0.7876382,0.2739275,0.9220893,0.6847025,0.957637816666667,0.870069566666667,0.7021729,1.1201412,0.842886316666667,0.9599548,0.6744131,1.0802694,0.6074026,1.1011816,0.8700181,0.6925448,0.431272,1.6494506,0.7070792,0.7570546,0.2843612,0.8704825,0.687735383333333,1.0689127,1.0927507,0.9303041,0.6213608,0.528929,0.6593584,0.6583962,0.4793676,0.5532985,0.6782789,0.3498445,0.5849128,0.3943932,0.5868094,0.6397554,0.7065917,1.2575987,2.024963,0.9164865,0.6526853,1.5837349,1.07849243333333,0.5798866,0.260685,0.5371379,0.6701862,1.2287704,0.3184396,0.4196026,1.4657866,1.4874206,1.738089,0.900636283333333,0.8137356,0.876739,0.7835365,1.6854556,0.6493989,0.6392162,0.5683289,0.4690815,0.5905078,1.0621477,0.755317,0.7046588,0.5932535,0.9074702,0.3125096,0.5927299,0.5917891,0.756411,0.9537564,1.0757105,1.4049373,1.5753912,1.3692784,0.8660454,0.613951,1.1354913,1.09403828333333,3.0576396,0.520689,1.7354411,1.10605,0.5771025,1.7088605,0.9629004,0.681122,1.8091551,0.8586314,0.9029237,1.0076583,1.1117714,0.4259668,3.9128297,1.06858,0.6477387,0.6868391,0.387539,0.7430526,0.6918368,0.6311918,1.4554421,0.4808095,1.25045801666667,0.9907155,9.4553357,0.3711496,0.4393124,1.1973155,0.984009333333333,0.978297666666667,2.15369,0.3235054,2.4478775,0.8537555,0.6807346,0.505483,1.09477836666667,1.5972806,0.7468158,0.2999259,1.2284384,0.8701236,0.846369616666667,0.6054498,0.54805285,0.8411293,1.4792855,0.8529935,0.5629268,0.78648875,0.5766385,1.9997574,0.474573,1.1211155,0.5599554,0.6485049,1.3459652,0.7363564,1.5386194,0.706119,0.3112921,1.4526751,0.8242205,0.4434885,1.2608681,0.6977157,0.760464883333333,1.4924566,0.7137177,0.6723866,0.8648066,0.5762341,0.5366484,2.2563387,1.1705093,0.8243568,1.0092717,1.8244377,1.0034524,0.7218571,0.8887394,0.733506733333333,0.9201858,0.5832709,0.810088766666667,0.3912042,0.4028002,0.7418904,1.235075,0.4474072,0.654896,0.7307103,0.8303564,1.1227921,1.0756632,0.9819305,1.1300377,1.8177744,1.0836963,1.2563585,0.892665,0.4482838,1.2278415,1.2897736,0.7910873,1.5022448,1.0722756,1.329429,0.3420854,0.5791461,0.4954325,0.7049717,1.4466717,0.4014868,1.6143318,0.5672995,1.5612153,0.3401291
